2023-08-31 08:57:08,095 INFO    MainThread:2261 [wandb_setup.py:_flush():76] Configure stats pid to 2261
2023-08-31 08:57:08,096 INFO    MainThread:2261 [wandb_setup.py:_flush():76] Loading settings from /home/songoh/.config/wandb/settings
2023-08-31 08:57:08,096 INFO    MainThread:2261 [wandb_setup.py:_flush():76] Loading settings from /media/songoh/ssh3/songoh_ws/MaskDNtoBBox_GPU0/wandb/settings
2023-08-31 08:57:08,096 INFO    MainThread:2261 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2023-08-31 08:57:08,096 INFO    MainThread:2261 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main_instance_segmentation.py', 'program': '/media/songoh/ssh3/songoh_ws/MaskDNtoBBox_GPU0/main_instance_segmentation.py'}
2023-08-31 08:57:08,096 INFO    MainThread:2261 [wandb_init.py:_log_setup():461] Logging user logs to /media/songoh/ssh3/songoh_ws/MaskDNtoBBox_GPU0/wandb/run-20230831_085708-1byurnrw/logs/debug.log
2023-08-31 08:57:08,096 INFO    MainThread:2261 [wandb_init.py:_log_setup():462] Logging internal logs to /media/songoh/ssh3/songoh_ws/MaskDNtoBBox_GPU0/wandb/run-20230831_085708-1byurnrw/logs/debug-internal.log
2023-08-31 08:57:08,097 INFO    MainThread:2261 [wandb_init.py:init():495] calling init triggers
2023-08-31 08:57:08,097 INFO    MainThread:2261 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2023-08-31 08:57:08,097 INFO    MainThread:2261 [wandb_init.py:init():548] starting backend
2023-08-31 08:57:08,097 INFO    MainThread:2261 [wandb_init.py:init():552] setting up manager
2023-08-31 08:57:08,101 INFO    MainThread:2261 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-08-31 08:57:08,103 INFO    MainThread:2261 [wandb_init.py:init():558] backend started and connected
2023-08-31 08:57:08,105 INFO    MainThread:2261 [wandb_init.py:init():636] updated telemetry
2023-08-31 08:57:08,105 INFO    MainThread:2261 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2023-08-31 08:57:09,079 INFO    MainThread:2261 [wandb_run.py:_on_init():1982] communicating current version
2023-08-31 08:57:09,191 INFO    MainThread:2261 [wandb_run.py:_on_init():1986] got version response upgrade_message: "wandb version 0.15.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-08-31 08:57:09,191 INFO    MainThread:2261 [wandb_init.py:init():700] starting run threads in backend
2023-08-31 08:57:12,426 INFO    MainThread:2261 [wandb_run.py:_console_start():1962] atexit reg
2023-08-31 08:57:12,427 INFO    MainThread:2261 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2023-08-31 08:57:12,427 INFO    MainThread:2261 [wandb_run.py:_redirect():1885] Wrapping output streams.
2023-08-31 08:57:12,427 INFO    MainThread:2261 [wandb_run.py:_redirect():1907] Redirects installed.
2023-08-31 08:57:12,428 INFO    MainThread:2261 [wandb_init.py:init():732] run started, returning control to user process
